Wall time,Step,Value
1638587901.6786957,14189,5.272069454193115
1638587915.5788555,14266,5.0628342628479
1638587932.7794552,14362,5.1671624183654785
1638587985.5087664,14646,4.968682289123535
1638588003.7328885,14746,5.2880988121032715
1638588022.9603302,14852,5.2889933586120605
1638588025.2952185,14865,5.20676326751709
1638588063.9418507,15066,4.95004940032959
1638588064.8869164,15071,5.127878189086914
1638588074.606068,15125,5.336030960083008
1638588085.602543,15186,5.066736698150635
1638588120.7820451,15372,5.278954029083252
1638588164.2139604,15611,5.161479473114014
1638588170.7594984,15639,4.915022850036621
1638588280.1369793,16242,5.12335729598999
1638588307.559525,16393,4.9155449867248535
1638588387.3493092,16835,5.010460376739502
1638588393.1105876,16867,5.180202960968018
1638588396.1547198,16884,5.240293025970459
1638588400.4837515,16908,3.9874203205108643
1638588407.7736192,16948,3.863527297973633
1638588438.9112816,17121,4.2560834884643555
1638588623.2348912,18122,5.045009613037109
1638588624.7166328,18130,5.033721923828125
1638588625.4358337,18134,5.113102436065674
1638588626.156095,18138,5.242891311645508
1638588674.8960226,18406,5.004863739013672
1638588688.6694453,18482,5.034072399139404
1638588740.438771,18760,5.0822343826293945
1638588741.5165622,18766,5.097832679748535
1638588746.9377134,18796,5.035159111022949
1638588766.742252,18905,5.069425582885742
1638588803.909775,19110,4.9661688804626465
1638588821.9292352,19210,5.045553207397461
1638588841.7163343,19320,5.152134895324707
1638588852.228734,19378,5.188755512237549
1638588874.6646864,19502,5.18174934387207
1638588882.8489037,19547,5.327064037322998
1638588895.761263,19618,5.061716556549072
1638588936.2759156,19842,5.126559734344482
1638588964.711324,20000,5.049413204193115
1638589072.108498,20579,5.0793352127075195
1638589079.3379714,20619,5.212153434753418
1638589084.3663764,20647,5.365734577178955
1638589121.2793484,20842,4.952596187591553
1638589144.3592134,20969,4.954432010650635
1638589158.0954196,21037,5.051535606384277
1638589161.0369833,21053,5.006680011749268
1638589174.927267,21130,5.012295246124268
1638589199.8699331,21268,5.108399868011475
1638589207.8065882,21312,5.123265266418457
1638589273.9325564,21677,5.079649448394775
1638589343.904697,22064,5.023847579956055
1638589361.8906898,22163,5.105532646179199
1638589461.1264362,22703,5.056079387664795
1638589527.9344242,23072,5.0984787940979
1638589534.2482789,23107,5.181733131408691
1638589590.1334803,23407,5.062596797943115
1638589590.309571,23408,5.0550031661987305
1638589607.2412386,23501,5.0093302726745605
1638589623.4611151,23590,5.112783908843994
1638589768.0080469,24379,5.025434494018555
1638589784.6742904,24470,5.110461235046387
1638589785.3965712,24474,5.121976375579834
1638589829.8930693,24719,5.124900817871094
1638589837.184448,24759,5.20029878616333
1638589849.8696897,24829,4.9540696144104
1638589869.9376996,24939,5.083575248718262
1638589879.4625242,24992,3.7574288845062256
1638589891.4362357,25054,5.159734725952148
1638589902.1002228,25113,5.0338592529296875
1638589927.133811,25250,5.1025238037109375
1638589962.6454406,25445,5.1866936683654785
1638590001.5663207,25650,5.056891918182373
1638590013.4446447,25716,4.9325971603393555
1638590052.5149643,25930,5.012137413024902
1638590113.033094,26264,3.591048240661621
1638590120.3817432,26304,5.018721580505371
1638590135.1269712,26378,3.5314009189605713
1638590184.2982633,26647,5.043879508972168
1638590192.8882685,26694,4.9767560958862305
1638590216.8109596,26817,5.091837406158447
1638590254.1494153,27015,3.7274715900421143
1638590256.9322114,27030,5.061359882354736
1638590270.5269105,27105,5.267745494842529
1638590307.2806187,27309,5.169687747955322
1638590345.8347392,27522,4.98822546005249
1638590395.000487,27793,5.26323127746582
1638590402.403827,27834,5.166929244995117
1638590413.4593546,27895,4.99446964263916
1638590433.916539,28007,5.161709785461426
1638590441.0035622,28046,4.945187568664551
1638590451.303748,28103,5.228644371032715
1638590578.3317142,28795,4.983331203460693
1638590610.6827319,28973,5.054984092712402
1638590612.8333755,28985,5.085239410400391
1638590671.999977,29311,5.097916603088379
1638590706.245444,29491,4.923834800720215
1638590719.8419952,29566,4.948070049285889
1638590729.8645937,29621,4.9950852394104
1638590732.799262,29637,5.046016693115234
1638590740.3377218,29678,4.959425926208496
1638590759.8326778,29785,4.916691303253174
1638590768.3165288,29832,3.350044012069702
1638590771.4549446,29849,5.275600433349609
1638590776.1662912,29875,5.123360633850098
1638590809.7052982,30056,5.107041358947754
1638590811.869171,30068,5.151859283447266
1638590814.2124832,30081,4.950258255004883
1638590854.2054873,30301,5.049067497253418
1638590927.2724705,30704,4.780597686767578
1638590968.209058,30920,5.0839033126831055
1638590975.484619,30960,4.9210381507873535
1638590976.9299445,30968,5.029394626617432
1638590984.070347,31007,4.963632583618164
1638591027.38418,31245,5.0139546394348145
1638591051.4446735,31377,4.981664657592773
1638591057.6065302,31411,5.075201511383057
1638591104.5562935,31661,3.809616804122925
1638591148.6443284,31903,3.706414222717285
1638591151.6615012,31919,4.905049800872803
1638591157.9852986,31954,4.983117580413818
1638591162.190847,31977,4.995411396026611
1638591169.129774,32015,5.101147174835205
1638591260.0914376,32508,5.051227569580078
1638591316.8278334,32812,4.931431293487549
1638591319.1805177,32825,5.288317680358887
1638591319.3589773,32826,4.8726325035095215
1638591333.3541543,32903,5.111613750457764
1638591401.8270555,33280,5.036351680755615
1638591425.2400904,33409,5.059739112854004
1638591478.6522279,33702,4.828412055969238
1638591498.5872345,33804,5.126688003540039
1638591509.6585233,33865,5.1263427734375
1638591618.7818768,34465,4.917983055114746
1638591709.0775893,34952,3.793649911880493
1638591712.039503,34968,4.9643940925598145
1638591744.2158349,35141,4.9131903648376465
1638591758.1065207,35218,5.050105571746826
1638591787.2461011,35378,5.133096218109131
1638591805.5193987,35478,5.391339302062988
1638591818.9281538,35552,5.182094573974609
1638591846.760822,35705,5.11021089553833
1638591884.416967,35914,4.8404059410095215
1638591892.3077958,35949,4.779661178588867
1638591992.3958383,36502,4.982398986816406
1638592027.3847697,36695,4.977903842926025
1638592064.209375,36889,5.0987162590026855
1638592064.8021214,36892,4.83705997467041
1638592066.94666,36904,4.788471221923828
1638592083.8296459,36997,4.924363136291504
1638592096.3771315,37066,5.195374965667725
1638592098.9453921,37080,4.907920837402344
1638592105.6904843,37117,5.064358234405518
1638592117.7934375,37183,5.021083831787109
1638592176.501077,37499,4.919867515563965
1638592208.3571172,37675,4.876894950866699
1638592221.8913424,37750,5.124953746795654
1638592256.1912456,37938,5.041759014129639
1638592339.1442814,38387,3.5213167667388916
1638592339.3504808,38388,5.112729549407959
1638592343.1173847,38409,5.033855438232422
1638592357.4550123,38488,4.996486186981201
1638592414.6690748,38806,5.034547805786133
1638592420.8102198,38840,4.931341648101807
1638592428.2358582,38881,5.050047397613525
1638592431.4598298,38899,5.103903770446777
1638592456.1006052,39026,5.101289749145508
1638592558.6551142,39589,5.026804447174072
1638592581.2281437,39713,4.960111618041992
1638592655.4561887,40111,3.725682020187378
1638592667.1146686,40175,5.173637390136719
1638592678.3192139,40237,4.933211326599121
1638592680.681732,40250,5.049953937530518
1638592695.693988,40333,3.389845132827759
1638592710.936166,40417,4.98077392578125
1638592734.7174346,40541,5.103965759277344
1638592748.6159632,40618,5.047395706176758
1638592780.4828308,40794,5.08465576171875
1638592807.4908197,40943,5.0877790451049805
1638592831.3002298,41074,5.008821487426758
1638592885.6723614,41375,3.407651901245117
1638592903.5445244,41474,5.019110202789307
1638592914.821099,41537,5.0481767654418945
1638592915.645139,41542,3.362011671066284
1638592920.217488,41567,5.174763202667236
1638592957.6052618,41773,5.108846187591553
1638592993.0580344,41969,4.821892738342285
1638593001.0167332,42013,4.9114861488342285
1638593024.0851483,42132,3.4880387783050537
1638593084.046327,42462,5.104676246643066
1638593097.415497,42536,5.093011856079102
1638593155.3965917,42856,4.937811851501465
1638593174.270387,42952,5.0427422523498535
1638593208.1547675,43139,4.965082168579102
1638593224.9912283,43232,4.916696071624756
1638593236.6792853,43297,5.1936869621276855
1638593284.5977936,43555,5.0151495933532715
1638593294.8581388,43612,5.1318135261535645
1638593324.8121195,43778,4.9502034187316895
1638593412.625328,44256,4.892606735229492
1638593417.6662025,44284,4.84792423248291
1638593429.665401,44350,4.845522403717041
1638593432.166638,44364,4.737585544586182
1638593450.2878084,44464,4.851167678833008
1638593454.141332,44485,4.893185615539551
1638593461.013085,44523,4.954612731933594
1638593495.0628152,44712,5.054599285125732
1638593497.4435816,44725,5.037939548492432
1638593498.5402403,44731,4.814385890960693
1638593504.1354356,44762,5.081620216369629
1638593543.0794468,44977,5.218346118927002
1638593617.8692636,45386,4.791126728057861
